Unnamed: 0,order_id,tip
0,2196797,1
1,1827621,1
2,2461523,0
3,2614670,1
4,3110252,0
5,2803975,0
6,1864787,0
7,2906490,0
8,2924697,0
9,1750084,1
10,3088145,0
11,13318,1
12,2989905,1
13,2639013,1
14,2757217,1
15,3038639,0
16,3294399,0
17,2178718,1
18,3081445,0
19,2222431,0
20,1318796,0
21,926418,1
22,2364180,0
23,2549875,0
24,3032922,1
25,2759030,1
26,878518,0
27,2733614,0
28,2887138,1
29,3001617,1
30,2560500,1
31,1993128,1
32,242208,0
33,673776,1
34,3294802,1
35,2133144,0
36,2564128,1
37,1500681,0
38,1505214,0
39,1308123,1
40,1458129,0
41,739987,0
42,2780124,1
43,1447810,1
44,3176785,0
45,2708761,0
46,1789152,1
47,180627,1
48,2041929,1
49,2499603,1
50,1016866,0
51,142062,1
52,2008056,0
53,1056167,0
54,1162736,0
55,1905437,1
56,3411419,0
57,3529,0
58,1374681,0
59,405264,0
60,208213,0
61,1979266,0
62,540284,1
63,2600069,0
64,988,1
65,2956359,1
66,3072356,1
67,1054904,0
68,3012300,0
69,2560537,1
70,3174585,0
71,1430705,0
72,1989223,1
73,2376514,0
74,2942881,1
75,174574,0
76,1910258,0
77,2328904,1
78,2950974,0
79,1392440,1
80,1449813,1
81,2608193,0
82,539212,0
83,488785,1
84,484245,0
85,1101383,1
86,2029736,0
87,113754,0
88,1439514,1
89,2769206,0
90,683205,1
91,2000464,1
92,417305,0
93,1739738,1
94,3054083,1
95,1039817,0
96,659655,0
97,863691,0
98,188500,0
99,1011563,0
100,2831272,1
101,2101076,1
102,2346527,1
103,2569637,0
104,2337367,1
105,1074772,1
106,1820107,1
107,451330,0
108,2019153,1
109,3125190,0
110,2101825,0
111,1609767,0
112,1232929,0
113,2150770,0
114,1859940,1
115,102931,1
116,2372949,0
117,3733,0
118,339577,0
119,531078,1
120,192822,1
121,2725594,0
122,1017699,0
123,3298943,1
124,2125060,0
125,2081127,1
126,2342041,0
127,428232,1
128,1224638,0
129,78051,1
130,1408873,1
131,812040,0
132,2376860,0
133,1696391,1
134,3327840,0
135,1063245,0
136,2451495,0
137,3002915,0
138,261370,0
139,2127707,0
140,1307498,1
141,2357159,0
142,67479,0
143,944659,1
144,251996,0
145,1738759,1
146,1378817,1
147,1436723,1
148,553676,0
149,1167274,0
150,1556053,0
151,2667408,1
152,49291,0
153,90628,1
154,1515554,1
155,2227916,0
156,2513420,1
157,2558109,0
158,1941111,0
159,1786829,1
160,2626310,0
161,917873,1
162,2943041,1
163,2802645,1
164,1537934,0
165,2436377,1
166,1241668,1
167,1114234,1
168,92317,0
169,3415312,0
170,83856,1
171,1652829,0
172,1963578,0
173,2144171,1
174,1088647,1
175,1534424,1
176,718132,0
177,1305670,1
178,509989,0
179,3271309,0
180,1393688,0
181,1880459,0
182,1196150,1
183,979263,0
184,374322,0
185,2742119,0
186,1148045,0
187,2435106,1
188,914910,0
189,1832849,0
190,2314737,1
191,127522,0
192,1288850,1
193,1441412,0
194,2555679,0
195,96292,0
196,2753827,0
197,395208,1
198,637980,0
199,1392921,1
200,1940438,0
201,1389513,1
202,1504831,0
203,2987108,0
204,2614856,0
205,221711,0
206,2143665,1
207,2042218,1
208,2573243,0
209,1453822,0
210,2216237,1
211,443227,1
212,2330932,1
213,1860271,1
214,2406692,1
215,1510345,0
216,300459,1
217,1438109,1
218,393494,0
219,2717227,1
220,1922310,0
221,604625,0
222,526858,0
223,327915,0
224,2065685,0
225,364097,1
226,1461756,0
227,1663465,1
228,2916351,1
229,1678834,0
230,3367947,0
231,249702,0
232,1263386,0
233,3392152,0
234,2237430,0
235,1725556,1
236,1476764,1
237,401928,1
238,1489846,1
239,796337,0
240,169422,0
241,3251213,0
242,2479253,0
243,1123114,0
244,1289473,0
245,472417,1
246,723753,1
247,580476,1
248,2597017,0
249,3025307,1
250,1345715,1
251,2085640,1
252,3335299,0
253,1410397,0
254,1503135,0
255,3250346,0
256,2652449,0
257,3094816,1
258,164257,1
259,2561233,1
260,1896032,0
261,3171516,1
262,935344,0
263,27339,0
264,1142716,0
265,1704859,0
266,46340,1
267,1630533,1
268,2416865,1
269,3077618,1
270,1269882,0
271,1855656,0
272,1779225,0
273,3067161,0
274,2871086,0
275,2973176,0
276,2034042,1
277,633569,0
278,2277161,1
279,3288985,0
280,2074271,1
281,1377327,0
282,2609167,1
283,1927184,0
284,3031079,1
285,2912252,0
286,1308481,1
287,1549331,0
288,3202796,0
289,1090155,1
290,1300165,0
291,764206,0
292,1634309,1
293,1995260,1
294,2493959,0
295,220180,0
296,1339827,0
297,6695,1
298,779069,0
299,2669429,1
300,317537,1
301,1829993,1
302,186342,1
303,1758197,1
304,268712,1
305,1246879,0
306,3401644,0
307,2491974,0
308,376933,1
309,3050274,0
310,1639235,0
311,3383671,0
312,608020,0
313,2065616,0
314,3237574,0
315,1223773,0
316,1082244,1
317,1631034,1
318,2903282,1
319,500855,0
320,1174747,0
321,76113,0
322,822491,0
323,960700,0
324,2721390,1
325,3194255,1
326,2107602,1
327,2834777,0
328,1298513,0
329,2760304,0
330,101843,0
331,1867462,1
332,163679,1
333,2640820,0
334,894711,1
335,3218537,0
336,3289681,1
337,2359414,0
338,44208,1
339,1687224,0
340,3276317,0
341,3335689,1
342,30739,1
343,773433,1
344,3303655,0
345,3390062,0
346,1357889,0
347,407451,0
348,1507357,1
349,1533428,0
350,1728833,1
351,2362492,0
352,791162,0
353,3217286,0
354,2545099,0
355,2077487,1
356,1351660,0
357,2519194,1
358,2853765,1
359,2486302,0
360,524333,1
361,3002092,1
362,178541,1
363,1564802,1
364,374806,0
365,1979738,1
366,1086428,1
367,332488,1
368,893162,0
369,1332864,0
370,846154,0
371,1279598,1
372,1911114,1
373,1773153,0
374,183932,1
375,1100193,0
376,3379094,0
377,1696468,0
378,2102995,0
379,1440983,1
380,1250869,1
381,2992254,1
382,221742,1
383,2545948,0
384,3236785,1
385,1625859,0
386,1435886,0
387,126793,1
388,2713679,0
389,1336754,1
390,2619232,1
391,718466,1
392,3137173,0
393,1067531,1
394,2658681,1
395,1315069,0
396,2009712,0
397,901415,1
398,129926,0
399,28696,1
400,1312596,1
401,1254380,0
402,3023704,1
403,1907607,0
404,659909,0
405,1769739,1
406,3331469,0
407,1188813,1
408,3107093,0
409,501582,0
410,134419,1
411,2990314,1
412,872361,0
413,374606,1
414,2868479,0
415,2474551,0
416,812023,1
417,776848,1
418,1008627,0
419,1376142,1
420,1289521,0
421,214187,0
422,179504,1
423,911951,1
424,1177246,0
425,1490598,1
426,2065398,0
427,1529138,1
428,2018860,0
429,2766487,0
430,783074,1
431,1836043,1
432,2734758,1
433,1506044,0
434,852435,0
435,1015146,0
436,950032,0
437,3260987,0
438,2117424,0
439,562888,0
440,232180,1
441,3264599,1
442,3288371,0
443,2164759,1
444,1888026,1
445,1501646,1
446,3334867,1
447,2877213,0
448,20018,1
449,2016450,0
450,591499,0
451,3277161,0
452,572329,1
453,2138164,1
454,1758870,1
455,2748224,0
456,1441408,0
457,26611,0
458,1989622,0
459,2335253,0
460,1368523,1
461,737719,0
462,689584,0
463,2895690,1
464,2484792,0
465,772327,1
466,1496873,1
467,2865637,0
468,456185,1
469,451711,0
470,2703002,0
471,1947936,1
472,3372129,1
473,1852279,0
474,1057242,1
475,3130140,1
476,817343,0
477,1745540,0
478,677693,1
479,3363061,0
480,1877053,1
481,412840,1
482,2684178,0
483,1056049,0
484,825795,0
485,2806411,1
486,336488,1
487,1213787,1
488,3339983,0
489,1793342,1
490,2244854,0
491,2477115,0
492,1694924,0
493,739040,1
494,2247613,0
495,353756,1
496,448754,1
497,2263190,1
498,1914195,1
499,1104396,1
500,1642566,1
501,1841480,1
502,147343,0
503,1961975,1
504,3049964,1
505,1457207,1
506,1110216,0
507,3267554,0
508,3231239,0
509,3408416,0
510,1230287,0
511,919214,0
512,1819437,1
513,1951006,1
514,3369062,0
515,166425,0
516,1649031,1
517,2542094,0
518,1700059,1
519,232701,0
520,3271122,0
521,1405330,0
522,3029663,1
523,1818779,1
524,1540354,1
525,2518043,0
526,3112861,1
527,2020717,0
528,3074750,1
529,1310253,0
530,3286610,1
531,324388,0
532,2098907,1
533,3005197,1
534,3068145,1
535,2656059,0
536,1060499,1
537,480184,0
538,2784999,0
539,1755968,0
540,3265834,1
541,1308679,1
542,2128395,1
543,2703783,0
544,1953977,1
545,463257,0
546,2191953,1
547,984873,1
548,580860,1
549,872058,0
550,1747911,0
551,2460981,0
552,2486698,1
553,691056,1
554,649627,1
555,1853650,0
556,1334972,0
557,3231689,0
558,3337444,0
559,3166535,0
560,1658143,0
561,1521534,1
562,409308,0
563,759590,1
564,977207,1
565,1917041,1
566,2536678,0
567,987848,0
568,573230,0
569,3097902,0
570,2971471,1
571,2427682,0
572,1516085,0
573,779885,0
574,2769899,1
575,2997075,0
576,702157,0
577,3237685,1
578,3173632,0
579,1832308,0
580,392047,0
581,194909,1
582,1834996,1
583,299379,0
584,615642,1
585,1221959,0
586,489031,0
587,3151288,0
588,3331602,0
589,1614274,0
590,2197473,1
591,2838310,1
592,2124838,0
593,609127,0
594,2645607,1
595,13066,1
596,1220959,1
597,3062848,0
598,1475448,0
599,2655103,1
600,872066,1
601,1773888,0
602,2748233,1
603,42210,1
604,2376382,0
605,2873224,0
606,2842892,1
607,434802,1
608,788530,0
609,2911814,1
610,3022502,1
611,1608036,0
612,656865,0
613,1910288,0
614,3172170,1
615,69233,0
616,2957879,1
617,3188025,1
618,2282714,0
619,124285,1
620,2622244,1
621,2092703,0
622,625829,1
623,3228819,1
624,3322557,1
625,3112455,1
626,605267,0
627,869470,0
628,3260554,1
629,3393060,0
630,116850,0
631,2043009,1
632,1976215,1
633,1174191,0
634,1023945,1
635,742327,1
636,2228786,0
637,1640271,0
638,684652,0
639,3110894,1
640,176235,0
641,2939254,1
642,1171381,1
643,19097,0
644,505497,1
645,137868,0
646,1844993,0
647,2011037,1
648,3202425,1
649,15929,0
650,1144774,1
651,2478843,0
652,2590769,0
653,1452068,0
654,2265446,1
655,89864,0
656,2766077,0
657,286505,1
658,183548,1
659,3097248,1
660,1811385,0
661,794887,0
662,513619,0
663,1624731,0
664,1744143,1
665,2317342,0
666,3005037,1
667,1152129,0
668,3121639,0
669,3123692,1
670,1985245,0
671,2708199,0
672,1423791,0
673,995244,0
674,2730940,0
675,1940447,0
676,3143940,0
677,1667199,0
678,1467877,1
679,169843,1
680,1681868,0
681,1391123,0
682,1981706,1
683,1146409,1
684,2568457,1
685,3203982,0
686,683555,0
687,350829,1
688,623638,0
689,1120519,1
690,577729,0
691,1038672,1
692,603293,1
